120	,327
1332	,328
7600	,329
340	,33
924908	,330
172	,331
120	,332
124	,333
120	,334
120	,335
120	,336
124	,337
120	,338
124	,339
120	,34
152	,340
172	,341
124	,342
3680	,343
124	,344
936	,345
232	,346
244	,347
848	,348
156	,349
120	,35
1836	,350
124	,351
148	,352
2136	,353
8	,354
332	,355
120	,356
120	,357
148	,358
256	,359
4500	,36
540	,360
172	,361
532	,362
216	,363
368	,364
120	,365
120	,366
8692	,367
292	,368
120	,369
456	,37
26720	,370
324	,371
308068	,372
316	,373
128	,374
184	,375
12868	,376
140	,377
372	,378
144	,379
45720	,38
140	,380
880	,381
604	,382
4504	,383
132	,384
124	,385
1300	,386
580	,387
3048	,388
288	,389
120	,39
128	,390
496340	,391
284	,392
132	,393
128	,394
132	,395
412	,396
120	,397
8364	,398
196	,399
1276	,4
2324	,40
63956	,400
120	,401
120	,402
43736	,403
156	,404
17220	,405
132	,406
120	,407
2440	,408
116	,409
388	,41
128	,410
1364	,411
2568	,412
132	,413
140	,414
1388	,415
568	,416
120	,417
128	,418
9292	,419
1772	,42
180	,420
22760	,421
15588	,422
104	,423
2624	,424
316	,425
128	,426
144	,427
376	,428
720	,429
124	,43
136	,430
18988	,431
136	,432
90044	,433
196	,434
132	,435
552	,436
1424	,437
144	,438
20304	,439
1236	,44
20084	,440
104	,441
11052	,442
372	,443
17760	,444
120	,445
161300	,446
1812	,447
1608	,448
120	,449
152	,45
140	,450
4172288	,451
898756	,452
640	,453
136	,454
815260	,455
120	,456
3152	,457
204	,458
4060	,459
136	,46
10168	,460
10380	,461
156	,462
54800	,463
229128	,464
1924	,465
380	,466
8240	,467
160	,468
468	,469
196	,47
16100	,470
2464	,471
364	,472
3416	,473
337252	,474
3744	,475
252	,476
176	,477
312	,478
627476	,479
148	,48
6700	,480
288	,481
208	,482
4124	,483
4768	,484
120	,485
120	,486
124	,487
4916	,488
128	,489
132	,49
840	,490
2684	,491
200	,492
124	,493
132	,494
124	,495
1588	,496
244	,497
244	,498
176	,499
1584	,5
124	,50
368	,500
10248	,501
1512	,502
236	,503
188	,504
124	,505
120	,506
128	,507
120	,508
120	,509
128	,51
120	,510
120	,511
200	,512
8	,513
120	,514
11332	,515
348	,516
128	,517
8196	,518
628	,519
140	,52
428	,520
108	,521
139988	,522
199764	,523
124	,524
8	,525
298792	,526
132	,527
149524	,528
872	,529
120	,53
66072	,530
184	,531
120	,532
83116	,533
43812	,534
11168	,535
8	,536
46032	,537
10264	,538
104	,539
132	,54
2156	,540
1264	,541
128	,542
1096	,543
292	,544
376	,545
204	,546
1172	,547
128	,548
224	,549
120	,55
120	,550
1044	,551
29276	,552
4500	,553
120	,554
448460	,555
664	,556
3904	,557
136	,558
104	,559
200	,56
3400	,560
248	,561
336	,562
17752	,563
68524	,564
18184	,565
124	,566
492	,567
8902844	,568
228	,569
128	,57
188	,570
316	,571
112716	,572
120	,573
140	,574
3128	,575
975828	,576
34960	,577
44672	,578
10736	,579
1612	,58
160	,580
152	,581
76592	,582
10836	,583
368	,584
484	,585
156	,586
144	,587
140	,588
20368	,589
196	,59
260	,590
3188	,591
271724	,592
4544	,593
1997900	,594
196	,595
853280	,596
16036	,597
292	,598
5704	,599
2484	,6
452	,60
47104	,600
2048	,601
396	,602
120	,603
148	,604
356	,605
57308	,606
120	,607
10516	,608
340	,609
1096	,61
56272	,610
1052	,611
136	,612
61420	,613
3456	,614
109260	,615
140	,616
347056	,617
503908	,618
284	,619
152	,62
276	,620
152	,621
20104	,622
60168	,623
136	,624
148	,625
120	,626
16912	,627
48664	,628
120	,629
144	,63
120	,630
18500	,631
252	,632
132	,633
124	,634
120	,635
500	,636
2220	,637
104	,638
1188	,639
136	,64
252	,640
120	,641
1108	,642
132	,643
78912	,644
22392	,645
120	,646
44524	,647
27476	,648
288	,649
832	,65
660	,650
3012	,651
136	,652
120	,653
1940	,654
180	,655
10228	,656
20928	,657
104	,658
7892	,659
316	,66
124	,660
272	,661
120	,662
628	,663
288	,664
131264	,665
21984	,666
216	,667
736	,668
164	,669
212	,67
132	,670
3172	,671
2360	,672
59788	,673
488	,674
10604	,677
59128	,678
2148	,679
288	,68
8288	,680
544	,681
3360	,682
120	,683
144	,684
136	,685
172	,686
953576	,687
3420	,688
1872	,689
120	,69
333656	,690
927344	,691
12344	,692
288	,693
268	,694
128	,695
31768	,696
328	,697
144	,698
168	,699
620	,7
492	,70
5328	,700
588	,701
428	,702
348	,703
172	,704
148	,705
128	,706
248	,707
552	,708
57408	,709
120	,71
128	,710
1776	,711
136	,712
944	,713
128	,714
230668	,715
224	,716
19064	,717
37660	,718
212	,719
200	,72
136	,720
588	,721
14680	,722
140	,723
572	,724
632	,725
176	,726
1096	,727
128	,728
1776	,729
120	,73
272040	,730
128	,731
42620	,732
22424	,733
8	,734
136	,735
1464	,736
156	,737
240	,738
24	,739
904	,74
1348	,740
132	,741
172	,742
144	,743
499744	,744
172	,745
1400964	,746
893504	,747
8	,748
404	,749
308	,75
260548	,750
1170284	,751
252	,752
140	,753
37496	,754
132	,755
128	,756
858940	,757
132	,758
152832	,759
128	,76
420	,760
324	,761
148	,762
244	,763
124	,764
58288	,765
76540	,766
2976	,767
416296	,768
160	,769
124	,77
112	,770
16724	,771
439020	,772
87392	,773
740232	,774
88408	,775
141488	,776
6868	,777
140	,778
33852	,779
136	,78
472	,780
408	,781
944	,782
1152	,783
256	,784
248	,785
232	,786
420	,787
240	,788
95252	,789
120	,79
228	,790
13684	,791
1112	,792
464	,793
188	,794
144	,795
240	,796
416	,797
180	,798
520	,799
204	,8
300	,80
128	,800
220	,801
531324	,802
168	,803
2274928	,804
132	,805
328484	,806
152	,807
47848	,808
368	,809
7952	,81
156	,810
1124184	,811
23044	,812
37520	,813
116	,814
4156	,815
700	,816
372	,817
510304	,818
37188	,819
7388	,82
556	,820
13124	,821
148	,822
128	,823
2448	,824
32652	,825
152	,826
28756	,827
120	,828
152	,829
136	,83
156	,830
176	,831
124	,832
616	,833
132540	,834
200	,835
48532	,836
144	,837
36424	,838
160	,839
392	,84
94352	,840
148	,841
606300	,842
170628	,843
132	,844
120	,845
73688	,846
308	,847
120	,848
9948	,849
120	,85
120	,850
900	,851
320	,852
140	,853
267292	,854
396	,855
316	,856
124	,857
35096	,858
340	,859
128	,86
6968	,860
184	,861
956	,862
112	,863
260	,864
22384	,865
132	,866
2380	,867
368	,868
624	,869
117472	,87
21044	,870
192	,871
9652	,872
1316	,873
244	,874
184	,875
13828	,876
164400	,877
664	,878
456	,879
128	,88
124	,880
360	,881
200	,882
67984	,883
5428	,884
308	,885
330324	,886
32060	,887
87892	,888
44824	,889
30208	,89
120	,890
368	,891
224	,892
13004	,893
28608	,894
14832	,895
20552	,896
35848	,897
916	,898
23848	,899
620	,9
120	,90
1460	,900
396	,901
120	,902
1608	,903
128	,904
563220	,905
120	,906
476	,907
360	,908
620	,909
300	,91
12832	,910
112	,911
340	,912
8440	,913
1096	,914
58660	,915
136	,916
124	,917
136	,918
148836	,919
120	,92
156	,920
188816	,921
116	,922
10372	,923
612968	,924
1336	,925
17588	,926
1508824	,927
160	,928
28392	,929
120	,93
180	,930
792	,931
12108	,932
184084	,933
128	,934
1565484	,935
120	,936
4558352	,937
640	,938
8140	,939
120	,94
1320	,940
116	,941
240	,942
7496	,943
112	,944
116	,945
1076	,946
112	,947
782200	,948
5460	,949
180	,95
152	,950
128	,951
140	,952
212	,953
116	,954
116	,955
24948	,956
11860	,957
90556	,958
136	,959
172	,96
4188	,960
1628	,961
268	,962
4580	,963
17464	,964
912	,965
152	,966
11280	,967
6116	,968
1016	,969
120	,97
112	,970
109868	,971
27132	,972
1504808	,973
7580	,974
3253332	,975
32548	,976
112	,977
39864	,978
31232	,979
144	,98
112	,980
46572	,981
2932	,982
28824	,983
132	,984
776	,985
132	,986
213300	,987
4820	,988
128	,989
120	,99
1523980	,990
260	,991
116	,992
8	,993
8	,994
832644	,995
107416	,996
1116	,997
8	,998
8	,999
